총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.6,에이디칩스(주),2022. 09,3점,"""교통이 용이 하며, 자기 개발과 업무를 동시에 가능한 회사""","연차를 비교적 눈치 없이 사용 할 수 있고, 야근이 많지 않습니다.그리고 승진에 큰 어려움은 없는것 같습니다.","복지적인 부분이 다소 부족하고, 기업에 대한 성장성이 않지 안다고 생각함",기업에 대한 성장성을 보여주며 각 성과에 따른 합리적인 보상과 처우를 이행하고 실행했으면 한다
2.6,에이디칩스(주),2022. 01,1점,"""일당200해도 알아주는 사람 없는 곳.""",회사가 커서 코로나 시국에 사회적 거리두기하기 좋다. 노조는 없지만 노조처럼 집단행동해도 사장님 마음이 넓으셔서 용서받고 계속 다닐 수 있다.,옛날 기술에 의존할 수밖에 없다. 팀장급만 남아있기 때문에 진급에 저항을 받는다. 회사가 사정이 안좋아 다채로운 직원복지를 바랄 수없고 항상 긴축해야한다.,전체를 포용해 나가는 리더쉽과 대리인이 필요없는 주체성.
2.6,에이디칩스(주),2021. 10,4점,"""하고자 하는 의지가 필요함. 원하는것만 할 순 없고 여러문서가 필요한편""",분위기 좋음. 복지 좋은 편. 대부분 필요한것엔 지급하는편,복지 제도가 있긴하나 있다고 보기 힘들게 낮은편임,복지 및 보상 체계 개선이 필요하다고 느낌
2.6,에이디칩스(주),2021. 08,3점,"""기술력을 갖고 있는 중소기업
나름 수직적인 문화
많이 배울수 없는 구조""","Cpu소스코드를 볼수 있다
업무시간에 돌아다녀도 상관없다","경직된 기업문화
수직적 명령식 기업문화
꼰대 군대식 기업","신입사원이 많이 배울수있는 환경을 만들어주세요
신규사원에게 일다운 일을주세요"
2.6,에이디칩스(주),2021. 01,2점,"""커리어에 대한 욕심이 있고 일을 배우고 싶은 사람이면 다른 기업을 알아보길, 그냥 아무욕심 없이 편하게 회사다니고 싶으면 추천함""","진짜 그나마 장점을 생각하면 연차를 쓸 때는 특별하는 눈치를 주는 것 같지는 않음, 저녁을 줌 대신 높은 직급의 분들과 먹어야됨","한 사람의 잘못된 행동과 판단이 기업의 분위기와 모든 것을 망치고 있음 부장들이나 다른 사람들도 그걸 알면서도 아무 말 못함. 회사의 성장이 가능한지 의문, 신입이 들어오면 일을 시키지 않음","신입한테 일을 시키지 않을거면 그냥 경력 뽑아서 쓰길 바람, 직원들이 자꾸 퇴사하는 이유를 조금이라도 생각해봤으면"
2.6,에이디칩스(주),2020. 12,3점,"""회사 자체적인 분위기는 나쁘지 않은데 뭔가 묘한 무기력함이 느껴짐.""",특정 부서빼고 연차가 자유로움. 가끔씩 대표님이 선물받은 부식을 나눠주기도 함. 전층 사용이라 화장실 이용 편리.,특정 부서의 경우 휴가쓰는 것에 상당히 눈치를 줌. 그리고 해당 부서 임원이 굉장히 히스테리적으로 굴며 모욕성 발언을 일삼음.,특정 임원 한명이 회사를 망치는 것이 우려되며 젊은 친구들에게 기회를 주는 것에 굉장히 수동적임.
2.6,에이디칩스(주),2020. 11,4점,"""업무강도가 강하지않음, 사람들이 좋음, 복지와 연봉은 업계 평균 정도거나 조금 낮은정도, 공부할 여유시간이 있어 천천히 적응하며 배울 수 있음, 학사가 개발을 경험할 수 있음""","자유로운 연차 사용, 6시 정시 퇴근, 사람들이 좋아 인간관계에 스트레스가 없음, 자유로운 복장, 다과나 커피, 차 제공, 주기적으로 마스크 제공, 기타 필요한 자잘한 것들은 요청하면 대부분 해결해줌","야근수당 없음 , 복지 적은편, 연령대가 높음, 교육같은게 없음, 대리, 과장급은 거의 없고 차장, 부장급이 대부분이라 소통이 어려움, 점심식사 미제공","크게 불편한건 없지만, 굳이 바란다면 합리적인 보상 및 복지 체계가 있었으면 좋겠다 정도,"
2.6,에이디칩스(주),2019. 03,3점,"""가족같은 분위기지만 거기서 끝이다, 경력직으로 들어가기는 추천 ,신입으로 들어가면 엄청난 후회를 느낄수 있다, 일에 대한 욕심 없이 돈 벌고 싶다면 들어가길""","윗사람 눈치 안보고 연차를 쓸수 있음 , 퇴근 자유롭다, 대체적으로 회사생활이 유연하다.","엄청 비효율적인 업무분배, 윗사람의 잘못된 경영으로 인해 아랫사람이 엄청난 손해를 받고 있는 중임 정작 윗사람은 그것이 잘못된 건지 모른다","직원들에 대한 관심을 조금이라도 가져줬으면, 나가는 사람들이 왜 나가는지 생각해보길"
2.6,에이디칩스(주),2018. 06,3점,"""로우 레벨부터 하이레벨까지 경험 할 수 있는 회사.
정이 많은 회사.""","연차쓸때의 상사의 눈치를 크게 안봐도 됨.
업무강도가 그렇게 강하지는 않음
자유로운 업무환경","복지가 거의 없다고 보면 됨.
관리부쪽의 눈치를 너무 봄.
내가 더 발전 할 수 있을까라는 의문이 들게함
급여가 쌔지 않음","지원들 복지를 더욱 생각해야함
임원들 배불릴 생각만 하는 경향이 있음."
2.6,에이디칩스(주),2018. 05,2점,"""cpu기술이 과거에는 있었으나, 정체되어 있는 회사. 기술력이 한계에 다다른 느낌이 듬. 수석들만 너무 많은 역피라미드식 구조. 현재는 SoC개발을 주로 하고 있으며, 업무 강도는 빡센편은 아니라서 적당히 개발하고 저녁있는 삶을 누릴수 있음. 연봉은 적음.""","연차사용 눈치를 보지 않고 쓸 수 있는 분위기 이며, 야근 강요가 없음. 적당한 업무 강도 속에서 화사 외의 삶을 누릴 시간이 있음.","기술력이 한계에 다다라서 똑같은 일을 그냥 반복하는 형태. 열심이 일하고 배우고 싶은 사람에게는 발전 가능성이 없음. 연봉이 업계 평균보다 낮은 편이다. 연구원은 신입이 없고 수석연구원이 너무 많아, 소통이 잘 안되는 분위기.",사원들의 복지에 신경을 더 써줘야 회사가 발전이 있을것 같습니다. 수석급들이 위에서 모든것을 끌고 가는 분위기가 아니라 소통할 수 있는 분위기가 되면 좋겠습니다.
2.6,에이디칩스(주),2018. 02,3점,"""국내 유일 국산 cpu를 보유한 기업 a에서z까지 배운다""",칩에 관한 전반적인 지식을 습득할 수 있다. 칩 설계 노하우 획득,낮은 연봉과 복지 위치. 엔지니어들간 소통 부재 체계적이지 않은 업무,업무지시가 명확하고 실수를 줄이기위한 체계적인 대응책 필요
