총점,회사,날짜,별점,요약,장점,단점,경영진에게
1.7,영진코퍼레이션(주),2022. 02,1점,"""대충 그냥 자기발전없이 월급만 받고 지낼수 있다. 단 너무 잔실수나 피해만 한준다면, 또 대표눈에 안뛴다면""","1.칼퇴근 가능
2.근무중에 자유롭게 업무에 영향안미치면 쉴 수있음
3.직원들 좋음
4.상여금 있음","1. 출근 8시반 시작 (오전교육)
2. 대표가 사람을 무시잘하며, 말을 기분나쁘게 잘함
3. 의기투합이 좀 안됨, 윗사람들이 자기만 편할라고 함
4. 대표가 업무 관여도가 굉장히 큼","대표가 너무 눈이 높고 이상이 높은건진 모르겠는데 아무리 아랫사람이어도 자꾸 비교질하지말고 동기부여가 되도록 해야 사람이 발전하고자 하는데 자꾸 단정적으로 주관대로 판단하시면 어느누가 와도 오래 못버팁니다. 또 팀장급들은 서로 좀 돕고 지냅시다
자꾸 1년도 못버티고 하는데는 이유가 있는법입니다"
1.7,영진코퍼레이션(주),2022. 01,1점,"""같이다니는 직원들은 너무 좋고 친절하며 가족같지만
사장님은 지금껏 직장중 가장 최악임.""","칼퇴 가능한점. 같이 일하는 직원들이 너무좋았음.
가족같고 좋았음.","여긴 정규직이라지만 정규직 아님. 사장 마음에 안들면 따로 불러서
직원들과 사이가 안좋네 부터 시작해서 이상한 사유를대가며 퇴사를 권유함.
이런 작은데서 이런소리를 들으니 기분이 너무 안좋아 딴얘기 안하고
퇴사할수 있음. 사장이 직원들과 같이 사무실에 있어서 직원들 전화하는거며 일일이 눈치를줌 이게 너무 진심 빡셈. 눈치를 오지게줌.","눈치 보며 연차 안쓰고 착실이 일하는 직원들좀 제발좀 챙겨주세요.
사장님이 직원을 못부리시는 것이지 직원들은 사장님이 무시하는것처럼 모자라지않습니다. 회사가 일에 집중을 못하게하니 퇴사 준비나고 딴생각 하는겁니다."
1.7,영진코퍼레이션(주),2021. 10,1점,"""부모님의 원수라도 한번은 말릴거 같은 기업""","아침마다 교육해서 제품 상기 시켜줌
쉬고싶어서 쓰는 연차 아니면 눈치 안 줌(오히려 쓰라고 함)","9시 출근아님(8시반에 아침교육있음)
영업직보다 관리직이 더 우위에 있음
가족같은 분위기인데 화목한 가족은 아님","영업직이나 기술직들 우대 필요
제품 팔아야하는데 재고가 없음
제품 수리할 재고도 없음"
1.7,영진코퍼레이션(주),2021. 06,1점,"""개인적으로 상당히 별로였으면서 신선한 충격을 가져다줌.
근무시간으로 인정해주지도 않는 8시 30분출근 후 교육, 군대같으며 구닥다리 윈도우7pc 제공.""","6시 땡하면 칼퇴할 수 있음.
건물 층 내 화장실을 회사사람들만 이용할 수 있다는점? 장점 크게 없음.
커피머신, 얼음 정수기 끝.","대표라는 사람한테 1:1 교육받는데 상당히 불쾌함.
문과생 무시발언, 공부 알아서 할건데 부담과 압박으로 심하게 강요.
발전이 가능할까라는 생각이 듬.
상사는 운전시킬 생각에 좋아하던데 그런 마인드 버리세요.","마인드부터 고치세요. 급여 주면서 생색은 다내고 사람 무시하고 진짜 많이 참았습니다.
혼잣말로 욕하는 모습이 생생하네요."
1.7,영진코퍼레이션(주),2020. 10,1점,"""인생의 선배로서 말씀드리면 공부 더 하시고 자소서 더쓰셔서
더 좋은곳으로 가시길 바랍니다""","사장님을 제외하면 가족같은 분위기, 6시면 퇴근 가능 에프터 식스라이프 가능 딱히 욕심이 없다면 스트레스 덜받고 다니기에는 좋음","꼰대 사장님, 매일하는 아침교육은 사장님 만족을 위한 교육일뿐
직원들에게는 1도 도움이 안됨. 자기와 반대되면 소리소문없이 직원을 정리하셨음. 현타오는 말들을 많이 하셔서 퇴사 고민을 수백번도 넘게 했음.","사장님께서 너희가 실력이 되쓰면 이런데 들어왔니라고
현타가 올수있는 말들을 많이하셔서
열심히 준비해서 공기업 이직했습니다
경솔한 말한마디가 신입사원들에게는 트라우마가 될것 입니다.
입사자들에게 회사의 자부심을 심어주시는것이 좋지 않을까 생각됩니다"
1.7,영진코퍼레이션(주),2020. 09,5점,"""하는일은 어렵다면 어렵고 쉽다면 쉽지만 최대한 기쁘게 일하려면 공부가 필요한 회사""","사람이 거의 없어서 눈치 볼 일 거의 없고,
최대한 눈높이에 맞게 교육시켜주는 회사","모든일이 조금은 느리게 처리되는 단점이 있으며
반 FM반 AM이라서 단점인지 장점인지...",관리팀 좀 쪼아서 서류 업무는 빨리 빨리 처리해주시길 바랍니다...
1.7,영진코퍼레이션(주),2020. 03,2점,"""과학기기를 수입해서 판매함. 타 업체에 비해 취급하는 장비들이 아주 많음""",야근 없음. 늦어도 7시 이내에는 퇴근하는 편. 야근하더라도 야근 수당은 없으니 그런건 기대하지 않는게 좋다. 야근 시에는 저녁은 제공해줌,복리후생에 대한 기대는 안하는게 좋음. 쉴 수 있는 공간은 없다.,사람은 적은데 벌려놓은 일은 너무 많아서 그걸 커버하기에는 인력이 너무 부족함
1.7,영진코퍼레이션(주),2020. 02,1점,"""직원을 신뢰하지 않는CEO, 높은 퇴사율, 새로뽑으면 되니 자기가 부리기 쉬운직원들위주의 직원들, 쉬운업무""",워라밸이 있음 칼퇴 할수 있음. 업무 스트레스 적음. 6시칼퇴.,"운전실력 말고는 배울게 없음. 직원을 신뢰하지 않는CEO, 높은 퇴사율, 새로뽑으면 되니 자기가 부리기 쉬운직원들위주의 직원들, 쉬운업무 사회초년생의 무덤.",회사는 직원들이 성장시키고 삶의 터전입니다. 왜 퇴사율이 높은지 생각해주세요.
1.7,영진코퍼레이션(주),2019. 01,2점,"""꼰대 사장, 그에게 절대 복종, 직원들과의 소통이 절대 될수 없는 구조.""","매출이 좋으면 보너스, 여름 휴가, 연말 휴가, 야근은 없으나 사장 눈치보며 퇴근","부서 자체가 스스로 돌아간다기 보다 사장 컨트롤로 직원이 다 움직인다고 보면 됨, 매일 아침교육은 처음엔 도움이 되는 듯 싶지만, 머리 속에 남는 건 하나도 없음. 그냥 다 사장 만족을 위한 교육","괜찮은 인재는 들어와도 버티기 어려운 구조이니, 잘 키워야 하는 데, 구시대적인 마인드로 회사를 운영하시면 직원들 모두 힘들어합니다. 즐거운 회사가 될수 있도록 오픈마인드 바랍니다."
1.7,영진코퍼레이션(주),2018. 05,2점,"""제품종류는 많아 여러제품을 공부할수있음""","6시칼퇴근 보장, 그외에는 이렇다할 장점이라고 내세울만한게 없다","실적스트레스가 심함, 다나까식의 군대문화, 똥군기잡는 차장",사장이 열정적인건 좋으나 직원들에게 자기열정을 강요하는건 무리. 직원을 피곤하게하지말고 더 나은 복지를 생각하시길
